,0,1,2,3,4,5,6,7,8,9
30,2.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0
31,0.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0
32,2.0,2.0,2.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0
33,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
34,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,-0.0,2.0
35,2.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0
36,3.0,4.0,2.0,2.0,0.0,1.0,2.0,5.0,2.0,2.0
37,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0
38,2.0,4.0,3.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0
39,2.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0
40,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0
41,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0
42,3.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0
43,2.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0
44,2.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0
45,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
46,1.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0
47,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0
48,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0
49,0.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0
50,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0
51,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0
52,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0
53,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
54,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
55,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0
56,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0
57,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0
58,2.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
59,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0
60,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0
61,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0
62,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
63,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0
64,2.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0
65,1.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0
66,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0
67,0.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0
68,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0
69,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0
70,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
71,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0
72,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0
73,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0
74,2.0,3.0,1.0,2.0,1.0,3.0,2.0,6.0,2.0,3.0
75,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0
76,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
77,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
78,2.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0
79,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0
80,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
81,3.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0
82,3.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
83,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
84,2.0,4.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,1.0
85,3.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0
86,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0
