,0,1,2,3,4,5,6,7,8,9
175,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0
176,1.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0
178,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
179,1.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
180,1.0,3.0,1.0,1.0,1.0,-0.0,1.0,2.0,2.0,0.0
181,0.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0
182,0.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0
183,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
184,1.0,1.0,0.0,-0.0,2.0,0.0,1.0,3.0,1.0,1.0
185,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,-0.0
186,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,-0.0,0.0
187,2.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0
188,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,-0.0,1.0
189,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0
190,-0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
191,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0
192,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0
193,3.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0
194,2.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0
195,1.0,3.0,1.0,1.0,-0.0,0.0,1.0,-0.0,2.0,-0.0
196,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0
197,1.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0
198,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0
199,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
200,1.0,2.0,2.0,2.0,2.0,-0.0,3.0,4.0,2.0,1.0
201,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0
202,1.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0
203,3.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0
204,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,-0.0
205,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0
206,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,-0.0
207,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0
208,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
209,1.0,2.0,1.0,2.0,1.0,0.0,-0.0,2.0,1.0,2.0
210,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,-0.0,1.0
211,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
212,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
213,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0
214,2.0,2.0,-0.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0
215,1.0,2.0,2.0,1.0,2.0,-0.0,1.0,2.0,2.0,0.0
216,-0.0,2.0,1.0,0.0,2.0,-0.0,1.0,2.0,1.0,2.0
217,1.0,3.0,2.0,-0.0,2.0,1.0,1.0,2.0,0.0,3.0
218,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
219,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0
220,-0.0,2.0,1.0,-0.0,2.0,1.0,0.0,2.0,2.0,0.0
221,1.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0
222,3.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0
223,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
224,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0
225,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0
